epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.007,1.81688,2.5152,1.27667,0.68119,0.23402,0.30497,0.16879,1.36267,2.15164,1.08456,0.000470795,0.000470795,0.000470795
2,213.424,1.41497,1.34341,1.0478,0.80768,0.39546,0.44331,0.26719,1.26128,1.37273,1.08325,0.000923686,0.000923686,0.000923686
3,317.594,1.36047,1.19073,1.03352,0.86239,0.39627,0.49565,0.28306,1.21846,1.22184,1.08747,0.001353,0.001353,0.001353
4,419.801,1.31191,1.09716,1.0188,0.82907,0.42431,0.48861,0.28909,1.19987,1.09517,1.0581,0.0013229,0.0013229,0.0013229
5,525.009,1.27921,1.03882,1.01063,0.86919,0.45805,0.52915,0.31078,1.18321,1.10751,1.05134,0.00128753,0.00128753,0.00128753
6,634.797,1.26229,0.97216,1.00479,0.90221,0.4542,0.55079,0.328,1.17688,0.99562,1.0333,0.00125216,0.00125216,0.00125216
7,736.8,1.25962,0.93142,0.99644,0.66288,0.52573,0.57396,0.3407,1.16172,0.89424,1.03049,0.00121679,0.00121679,0.00121679
8,838.132,1.2112,0.8923,0.97966,0.90388,0.49426,0.65,0.39799,1.09008,0.87919,1.01216,0.00118143,0.00118143,0.00118143
9,946.11,1.21295,0.90284,0.97975,0.63067,0.6105,0.63027,0.38541,1.16048,0.87729,1.01931,0.00114606,0.00114606,0.00114606
10,1046.42,1.18774,0.8598,0.96894,0.81923,0.58631,0.66756,0.42589,1.09895,0.79414,1.00586,0.00111069,0.00111069,0.00111069
11,1151.63,1.19328,0.83175,0.97512,0.74719,0.61133,0.67454,0.41653,1.10484,0.77288,1.01188,0.00107532,0.00107532,0.00107532
12,1261.75,1.19455,0.83719,0.97794,0.82309,0.60372,0.6951,0.42341,1.09165,0.78416,1.01079,0.00103995,0.00103995,0.00103995
13,1368.93,1.15814,0.80131,0.95265,0.74404,0.57914,0.66864,0.42965,1.03308,0.72828,0.98512,0.00100459,0.00100459,0.00100459
